Start,End
2016-05-01T12:21:00,2016-05-02T03:48:00
2016-05-02T19:59:00,2016-05-03T05:15:00
2016-05-03T18:54:00,2016-05-04T02:15:00
2016-05-04T18:43:00,2016-05-05T04:45:00
2016-05-05T22:06:00,2016-05-06T04:33:00
2016-05-06T22:12:00,2016-05-07T07:17:00
2016-05-08T00:32:00,2016-05-08T06:07:00
2016-05-08T14:16:00,2016-05-08T23:57:00
2016-05-09T20:54:00,2016-05-10T10:16:00
2016-05-10T21:54:00,2016-05-11T06:02:00
2016-05-11T19:27:00,2016-05-12T06:40:00
2016-05-12T22:31:00,2016-05-13T05:58:00
2016-05-13T12:19:00,2016-05-14T08:58:00
2016-05-14T13:45:00,2016-05-15T08:52:00
2016-05-15T21:45:00,2016-05-16T08:46:00
2016-05-16T20:42:00,2016-05-17T08:17:00
2016-05-17T12:39:00,2016-05-18T12:11:00
2016-05-18T12:14:00,2016-05-19T05:57:00
2016-05-19T21:43:00,2016-05-20T09:55:00
2016-05-20T21:13:00,2016-05-21T08:57:00
2016-05-21T19:43:00,2016-05-22T05:21:00
2016-05-22T21:26:00,2016-05-23T03:26:00
2016-05-23T18:46:00,2016-05-24T03:50:00
2016-05-24T21:48:00,2016-05-25T02:07:00
2016-05-25T12:14:00,2016-05-26T03:44:00
2016-05-26T21:08:00,2016-05-27T08:16:00
2016-05-27T20:47:00,2016-05-28T05:07:00
2016-05-28T20:43:00,2016-05-29T07:54:00
2016-05-29T21:39:00,2016-05-30T04:16:00
2016-05-30T21:29:00,2016-05-31T04:33:00
2016-05-31T22:26:00,2016-06-01T04:10:00
2016-06-01T21:25:00,2016-06-02T05:34:00
2016-06-02T20:06:00,2016-06-03T05:52:00
2016-06-03T19:55:00,2016-06-04T08:08:00
2016-06-04T19:57:00,2016-06-05T07:43:00
2016-06-05T20:25:00,2016-06-06T06:57:00
2016-06-06T21:53:00,2016-06-07T06:06:00
2016-06-07T20:16:00,2016-06-08T07:14:00
2016-06-08T21:33:00,2016-06-09T04:17:00
2016-06-09T21:42:00,2016-06-10T07:01:00
2016-06-10T22:08:00,2016-06-11T07:10:00
2016-06-11T21:48:00,2016-06-12T11:33:00
2016-06-12T19:50:00,2016-06-13T03:16:00
2016-06-13T20:30:00,2016-06-14T04:59:00
2016-06-14T20:52:00,2016-06-15T05:29:00
2016-06-15T21:42:00,2016-06-16T08:22:00
2016-06-16T21:13:00,2016-06-17T02:46:00
2016-06-17T21:07:00,2016-06-18T02:57:00
2016-06-18T20:28:00,2016-06-19T05:56:00
2016-06-19T20:21:00,2016-06-20T01:54:00
2016-06-20T20:06:00,2016-06-21T03:14:00
2016-06-21T20:38:00,2016-06-22T03:40:00
2016-06-22T21:48:00,2016-06-23T06:20:00
2016-06-23T21:08:00,2016-06-24T03:01:00
2016-06-24T21:31:00,2016-06-25T05:28:00
2016-06-25T19:39:00,2016-06-26T12:52:00
2016-06-26T12:53:00,2016-06-27T05:31:00
2016-06-27T12:01:00,2016-06-28T07:15:00
2016-06-28T15:32:00,2016-06-29T12:44:00
2016-06-29T12:46:00,2016-06-30T07:44:00
2016-06-30T21:07:00,2016-07-01T07:06:00
2016-07-01T14:18:00,2016-07-02T06:44:00
2016-07-02T21:10:00,2016-07-03T09:05:00
2016-07-03T21:22:00,2016-07-04T06:36:00
2016-07-04T22:27:00,2016-07-05T07:25:00
2016-07-05T21:32:00,2016-07-06T07:12:00
2016-07-06T20:25:00,2016-07-07T02:35:00
2016-07-07T21:21:00,2016-07-08T06:43:00
2016-07-08T21:31:00,2016-07-09T07:54:00
2016-07-09T21:45:00,2016-07-10T06:56:00
2016-07-10T21:59:00,2016-07-11T07:24:00
2016-07-11T20:28:00,2016-07-12T06:45:00
2016-07-12T22:07:00,2016-07-13T09:40:00
2016-07-13T20:13:00,2016-07-14T04:46:00
2016-07-14T21:54:00,2016-07-15T04:51:00
2016-07-15T14:45:00,2016-07-16T07:45:00
2016-07-16T13:39:00,2016-07-17T04:13:00
2016-07-17T21:52:00,2016-07-18T06:50:00
2016-07-18T22:23:00,2016-07-19T04:41:00
2016-07-19T21:40:00,2016-07-20T12:07:00
2016-07-20T12:11:00,2016-07-21T05:33:00
2016-07-21T22:33:00,2016-07-22T07:23:00
2016-07-22T21:35:00,2016-07-23T01:03:00
